code,predicted_pm2.5,geometry
118,5, -0.1609771336801359 51.512094145694704_ -0.1609771336801359 51.513892788906546_ -0.1638663069441087 51.513892788906546_ -0.1638663069441087 51.512094145694704_ -0.1609771336801359 51.512094145694704
119,5, -0.1609771336801359 51.513892788906546_ -0.1609771336801359 51.51569143211838_ -0.1638663069441087 51.51569143211838_ -0.1638663069441087 51.513892788906546_ -0.1609771336801359 51.513892788906546
120,5, -0.1638663069441087 51.479718567881626_ -0.1638663069441087 51.48151721109346_ -0.1667554802080815 51.48151721109346_ -0.1667554802080815 51.479718567881626_ -0.1638663069441087 51.479718567881626
121,5, -0.1638663069441087 51.48151721109346_ -0.1638663069441087 51.4833158543053_ -0.1667554802080815 51.4833158543053_ -0.1667554802080815 51.48151721109346_ -0.1638663069441087 51.48151721109346
122,15, -0.1638663069441087 51.4833158543053_ -0.1638663069441087 51.48511449751714_ -0.1667554802080815 51.48511449751714_ -0.1667554802080815 51.4833158543053_ -0.1638663069441087 51.4833158543053
123,15, -0.1638663069441087 51.48511449751714_ -0.1638663069441087 51.48691314072898_ -0.1667554802080815 51.48691314072898_ -0.1667554802080815 51.48511449751714_ -0.1638663069441087 51.48511449751714
124,15, -0.1638663069441087 51.48691314072898_ -0.1638663069441087 51.488711783940815_ -0.1667554802080815 51.488711783940815_ -0.1667554802080815 51.48691314072898_ -0.1638663069441087 51.48691314072898
125,15, -0.1638663069441087 51.488711783940815_ -0.1638663069441087 51.49051042715265_ -0.1667554802080815 51.49051042715265_ -0.1667554802080815 51.488711783940815_ -0.1638663069441087 51.488711783940815
126,15, -0.1638663069441087 51.49051042715265_ -0.1638663069441087 51.49230907036449_ -0.1667554802080815 51.49230907036449_ -0.1667554802080815 51.49051042715265_ -0.1638663069441087 51.49051042715265
127,15, -0.1638663069441087 51.49230907036449_ -0.1638663069441087 51.49410771357633_ -0.1667554802080815 51.49410771357633_ -0.1667554802080815 51.49230907036449_ -0.1638663069441087 51.49230907036449
128,15, -0.1638663069441087 51.49410771357633_ -0.1638663069441087 51.49590635678817_ -0.1667554802080815 51.49590635678817_ -0.1667554802080815 51.49410771357633_ -0.1638663069441087 51.49410771357633
129,15, -0.1638663069441087 51.49590635678817_ -0.1638663069441087 51.497705_ -0.1667554802080815 51.497705_ -0.1667554802080815 51.49590635678817_ -0.1638663069441087 51.49590635678817
130,15, -0.1638663069441087 51.497705_ -0.1638663069441087 51.49950364321184_ -0.1667554802080815 51.49950364321184_ -0.1667554802080815 51.497705_ -0.1638663069441087 51.497705
131,5, -0.1638663069441087 51.49950364321184_ -0.1638663069441087 51.50130228642368_ -0.1667554802080815 51.50130228642368_ -0.1667554802080815 51.49950364321184_ -0.1638663069441087 51.49950364321184
132,5, -0.1638663069441087 51.50130228642368_ -0.1638663069441087 51.503100929635515_ -0.1667554802080815 51.503100929635515_ -0.1667554802080815 51.50130228642368_ -0.1638663069441087 51.50130228642368
133,5, -0.1638663069441087 51.503100929635515_ -0.1638663069441087 51.50489957284736_ -0.1667554802080815 51.50489957284736_ -0.1667554802080815 51.503100929635515_ -0.1638663069441087 51.503100929635515
134,5, -0.1638663069441087 51.50489957284736_ -0.1638663069441087 51.50669821605919_ -0.1667554802080815 51.50669821605919_ -0.1667554802080815 51.50489957284736_ -0.1638663069441087 51.50489957284736
